N,time
4,0.007998943328857422
4,0.0
4,0.0
4,0.0
4,0.0
10,0.0
10,0.008000612258911133
10,0.023705005645751953
10,0.008008003234863281
10,0.02181529998779297
26,0.050192832946777344
26,0.016302824020385742
26,0.12001204490661621
26,0.007988691329956055
26,0.10353446006774902
50,0.16798019409179688
50,0.27489542961120605
50,0.1541280746459961
50,0.1172478199005127
50,0.05602598190307617
100,0.6056592464447021
100,0.2639963626861572
100,0.20003318786621094
100,0.1999678611755371
100,0.1808316707611084
200,0.5350673198699951
200,0.7572054862976074
200,0.6324758529663086
200,0.5060060024261475
200,0.5779173374176025
500,2.535449743270874
500,2.122687578201294
500,2.378506660461426
500,4.8489227294921875
500,5.145712852478027
1000,14.376245737075806
1000,15.75424313545227
1000,10.566862344741821
1000,21.78763222694397
1000,13.656920194625854
2000,49.83555269241333
2000,102.42807960510254
2000,57.66793632507324
2000,82.89690136909485
2000,81.72063326835632
5000,478.5968379974365
5000,622.6234283447266
5000,517.8025307655334
5000,457.38939690589905
5000,571.7748727798462
